company,title,body,rating,sentiment,predicted,prob_pos,prob_neu,prob_neg
PostNord i Danmark,Alt gik så fint,Alt gik så fint,5,positive,positive,0.881,0.118,0.001
PostNord i Danmark,Jeg kan rigtig godt lide at handle hos…,Jeg kan rigtig godt lide at handle hos jer film marked på nettet,5,positive,positive,0.993,0.006,0.0
UPS,Elendig service,"Elendig service. Som alle andre skriver, får man besked om at pakken er “forsøgt leveret, men traf ikke nogen hjemme”. Jeg har været hjemme hele dagen og ikke set skyggen af UPS. Ualmindelig dårlig oplevelse",1,negative,negative,0.191,0.003,0.806
PostNord i Danmark,De plejer ikke at skuffe men,"De plejer ikke at skuffe, men denne gang er det bare irreterende.Jeg fik en mail om at jeg havde modtaget pakken jeg havde bestilt. Og den var hverken på den ene eller den anden adresse.Jeg fandt så ud af dagen efter, at den var blevet sendt til en helt forkert adresse. Møg irreternde da jeg lige havde regnet med den kom til tiden",3,neutral,negative,0.004,0.003,0.993
UPS,de har leveret min pakke til en fremmede mand uden min tilladelse,"De valgte at gi min pakke væk til en fremmede person som jeg ikke kender.. men de vil alligevel ha jeg skal betale regningen for noget jeg ikke har fået!! Har så snakket med en der hedder Claus  hvor i han siger at det må de gerne??( har undersøgt  at det må man ikke ) Synes ikke folk skal få dem til at bringe ders pakker ud.  Fordi alle kan faktisk modtage din pakke ved at skrive under på den med ders navn  iføjle claus inde fra ups",1,negative,negative,0.006,0.023,0.972
UPS,Som så mange andre oplevede jeg at…,"Som så mange andre oplevede jeg at chaufføren, i modstrid med sandheden, påstod at have forsøgt aflevering. Det sker også med andre fragtfirmaer, men det gør jo ikke sagen bedre. Jeg har købt levering til døren, så det skal de (forsøge at) levere.Lad mig hermed opfordre alle der oplever dette til at kontakte UPS og forlange at de genleverer til adressen. Det gør jeg, og det fungerer som regel (stjerner for dette til stakkels Penny i kundeservice).Sker dette nok gange er der en chance for at UPS fatter at det er nemmere bare at levere produktet kunderne betaler for fremfor at prøve at smyge sig udenom.Hvis man gider så klag også til firmaet du har bestilt varer hos (også her på siden), så kan de lægge pres på fragtfirmaerne eller vælge et andet.",2,negative,negative,0.004,0.009,0.987
UPS,En frustrerende oplevelse,"Bare det at købe en pakkelabel var et eventyr i sig selv. 3 gange blev mit køb afvist pga. ""security reasons"" uden nærmere forklaring. En halv time senere kunne jeg godt gennemføre ordren. Nå men det er jo hvad det er - det lykkedes til sidst. Men vent - der er mere!Jeg tager min oversize pakke med ned til nærmeste UPS drop-off point, men de har ikke plads. Træls at slæbe en stor pakke ned, for bare at måtte tage den med hjem igen. Men UPS er så smart at man kan bede om en afhentning, og det er ville jo være genialt - hvis det virkede. Jeg bestiller afhentning mellem 9 og 13, og får en bekræftelse herpå og arrangerer at der er nogen til at overlevere pakken til UPS i det tidsrum. Der kom bare aldrig en fra UPS og afhentede pakken. 13:20 ringer jeg til UPS, og bliver viklet ind i en utrolig irriterende stemmebaseret IVR der efter at jeg gået gennem alle skridtene fortæller ""Jeg har oplever desværre problemer"", og alligevel ender med at stille mig igennem til en medarbejder. 10 minuter senere får jeg så sådan en i røret, som ikke kan forklare mig hvorfor der ikke er dukket nogen op som aftalt. Efter lidt frem og tilbage arrangerer vi at der skal komme nogen og hente pakken mellem 18 og 20. Men heller ikke her går det helt som planlagt. Kl. 17:45 ringer en UPS mand på døren for at hente pakken, men jeg er der ikke, når nu aftalen var mellem 18 og 20. Til alt held havde jeg lidt regnet med at tidspunktet ville glippe, og der var nogen på adressen til at overlevere pakken. Men, UPS manden fortæller så at de ikke henter pakker efter kl. 18. Hvordan kan en medarbejder i kundeservice så lave en en aftale med mig om afhentning mellem 18 og 20?Det ender heldigvis godt, og min pakke bliver leveret dagen efter indenfor den dertil aftalte tid. Men en køn process - det var det ikke.",3,neutral,positive,0.875,0.106,0.019
UPS,Leverancesikkerhed er ikke taget in mente,"Dato D. 02-02-2021:Pakkelevering underskrevet af chauffør og pakken stillet foran hoveddør til et kollegie, med ca. 100 beboere, vel og mærke i et tæt bebygget område.Ingen forestående aftale er lavet omkring dette, og leveringen er underskrevet med et forkert navn. Der er ingen hjælp at hente hos kundeservice, der ingen magt eller muligheder har for reelt at kunne gøre andet end at betjene den samme pakke sporingsside kunden kan. Dette henleder mig at tro de kun er ansat til at holde sure kunder hen, og håbe vi lægger røret på igen. Det er ikke muligt at klage over leverancer således at chaufføren kan orienteres om den dårlige beslutning.Rent og skær super elendig leveringsservice, uduelige chauffører der på ingen måde tager pakkens sikkerhed in mente og ingen hjælp at hente i supportafdelingen. Jeg kan varmt anbefale at styre skarpt uden om UPS Danmark hvis dette er muligt, da de imponerende nok leverer dårligere service end vores eget hade fragtfirma PostNord.",1,negative,negative,0.002,0.001,0.998
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive,positive,0.953,0.045,0.002
PostNord i Danmark,God service,God service og orden,5,positive,positive,0.996,0.003,0.001
UPS,Jeg var hjemme hele tiden og ventede på…,"Jeg var hjemme hele tiden og ventede på pakken, og så fik jeg at vide at de har forsøgt at levere min pakke men jeg var ikke hjemme???",1,negative,neutral,0.004,0.989,0.007
UPS,"Rykker, og indberetelse til RKI.","Har 2 gange fået pakker lev. af ups, begge gange skulle jeg forud betale et gebyr/moms, fair nok, inden jeg fik pakkerne. Men sidder nu med rykker og bål og brand om at jeg ryger i RKI. fordi jeg ikke har betalt. Heldigvis brugte jeg Mobilepay, hvor jeg skulle skrive et nr. Hvordan kan man få rykker på noget der er betal, inden det bliver udleveret.????",1,negative,negative,0.021,0.106,0.873
PostNord i Danmark,Hurtig levering.,Hurtig levering.,5,positive,positive,0.952,0.044,0.004
PostNord i Danmark,Hurtigt og effektivt 👍,Hurtigt og effektivt 👍,5,positive,positive,0.992,0.007,0.001
PostNord i Danmark,Pakken blev leveret uden ulejlighed,Pakken blev leveret uden ulejlighed,3,neutral,neutral,0.002,0.98,0.018
PostNord i Danmark,Pakken kunne ikke leveres det valgte sted…,"Pakken kunne ikke leveres det valgte sted. I stedet for at kontakte mig om et alternativt afleveringssted eller bare vælge det nærmeste pakkedepot, fik jeg en sms om at jeg kunne hente min pakke på et posthus 30 km væk (i Ullerslev; jeg bor i Odense C). Jeg henvendte mig til afsender, der bad PostNord om at få leveret til et nærmere pakkested, som jeg havde valgt. I stedet blev pakken efter to uger leveret tilbage til afsender. Som sendte den igen; denne gang uden problemer. Jeres information på hjemesiden om hvordan man håndterer denne situation er mildest talt svær at forstå. Der er en elendig kontaktformular, men I skriver også, at man skal rette henvendelse til afsender, ikke til jer. Et telefonnummer ville også have været rart.",1,negative,negative,0.005,0.063,0.932
PostNord i Danmark,Nemt at afhente i boksen,Kan selv afhente,5,positive,neutral,0.003,0.996,0.002
PostNord i Danmark,Altid pakken sat pænt ved døren og sms besked..Meget betrykkende ..,Altid flinke folk ..og er man ikke hjemme er pakken sat pænt ved døren.. en god og betrykkende måde med besked når i kommer og når pakken er afleveret…,5,positive,positive,0.999,0.001,0.0
PostNord i Danmark,Alt fungerede,"Alt fungerede, bestilling den ene dag, næste dag ankom varen til afhentning. Perfekt.",5,positive,positive,0.984,0.013,0.004
UPS,Forandring til det bedre,"Da jeg så at jeg skulle have min pakke leveret fra UPS tænkte jeg at det endnu engang ville blive besværligt at få min pakke, når jeg er på arbejde til hverdag.Denne gang var det meget smidigere for mig at ændre leveringen online end jeg har oplevet tidligere. Derfor en ny og opdateret anmeldelse fra mig af UPS.Den manglende stjerne skyldes at jeg fik en mail som gav mig anledning til at tro at jeg kunne ændre leveringen med det samme. Det var noget irriterende at det ikke virkede. Da jeg ringede til UPS fik jeg at vide at jeg skulle vente med at ændre. Dagen efter gik det til gengæld glat.",4,positive,neutral,0.017,0.94,0.044
PostNord i Danmark,Dårlig oplevelse med levering,"To gange i træk har Postnord bare stillet mine pakker ved døren - vi har ikke Modtagerflex aftale. Anden gang var vi rent faktisk hjemme, men der blev ikke engang ringet på døren.Der er en grund til at jeg kun bruger Postnord når jeg ikke har andre muligheder!",1,negative,negative,0.075,0.165,0.759
PostNord i Danmark,Problemfri aflevering af pakke,Problemfri aflevering af pakke,5,positive,neutral,0.1,0.833,0.066
PostNord i Danmark,Nemt og hurtigt,Nemt og hurtigt,5,positive,positive,0.874,0.117,0.008
PostNord i Danmark,Hurtig eg effektiv,Hurtig eg effektiv,5,positive,positive,0.997,0.003,0.001
UPS,Ingen pakke leveret,Skriver at pakken er leveret men der er ikke kommet nogle pakker. Har været i huset hele dagen uden nogle bank på døren eller noget som helst. Ringer herefter til kundeservice hvor de siger at de først har tid til at kigge på det en gang i næste uge. Aldrig bestil fra ups(skriver anmeldelsen for en medbeboer i huset),1,negative,neutral,0.001,0.994,0.005
UPS,Ret elendigt,"Bestilte min pakke tidligt om morgenen den 19/3, kort tid efter var den blevet afsendt. Egentlig gik det ret hurtigt fra pakken blev afsendt i Holland til den var i Danmark, problemet var bare, at da den så endelig var i Glostrup den 21/3, var den stadig blot registreret til at være i deres pakkecentral, kl. 17. Jeg ringede til deres support og hørte hvad det kunne skyldes, da jeg havde fået mail om at den var ude til levering mange timer før. Supporten fortalte at den pågældende medarbejder havde OVERSET pakken og derfor ikke var kørt ud med den.  Heldigvis var der en anden medarbejder hos UPS som boede tæt på, og kunne komme forbi med pakken efter arbejdstid, hvilket jo er sødt nok af den medarbejder, men stadig overordnet set ikke godt nok af UPS.",2,negative,neutral,0.009,0.983,0.008
PostNord i Danmark,Super service,Pakken blev leveret ved min hoveddør af af en venlig og smilende mand.,5,positive,positive,0.993,0.005,0.002
UPS,Ups sendte pakken retur uden at…,Ups sendte pakken retur uden at kontakte mig.,1,negative,neutral,0.002,0.99,0.008
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive,positive,0.953,0.045,0.002
PostNord i Danmark,Hurtigt 😉😉😉,Hurtigt 😉😉😉,5,positive,positive,0.968,0.031,0.001
PostNord i Danmark,Hurtig og præcis levering.,Hurtig og præcis levering.,5,positive,positive,0.971,0.026,0.003
PostNord i Danmark,Levering,Hurtig levering,5,positive,positive,0.953,0.045,0.002
FedEx,Pakke IKKE leveret,"Får besked om en pakke leveres den kommende dag, og kort tid efter kommer ny besked om at den er leveret, men, det er den IKKE.Forsøger derefter at ringe til dem, men kan ikke gører noget idet min pakke jo er leveret!!!Har nu prøvet at kontakte afsenderen, men hold da op en dårlig service!",1,negative,negative,0.294,0.313,0.393
PostNord i Danmark,hurtig ekspedition til pakkeshop,hurtig ekspedition til pakkeshop,5,positive,neutral,0.007,0.99,0.003
PostNord i Danmark,God hjemmeside og god levering😁,God hjemmeside og god levering😁,5,positive,positive,0.998,0.001,0.0
PostNord i Danmark,præcis levering,præcis levering,5,positive,positive,0.759,0.238,0.003
PostNord i Danmark,min pakke blev leveret inden for 24…,min pakke blev leveret inden for 24 timer,5,positive,neutral,0.005,0.994,0.001
FedEx,Hvis du skal bruge din pakke før de…,Hvis du skal bruge din pakke før de selv lige får lyst til at levere den så brug et andet firma. Post nord er længder bedre og det siger ikke så lidt.,1,negative,neutral,0.026,0.873,0.101
PostNord i Danmark,"Fup og bedrag, igen","Jeg fandt en seddel i min postkasse om, at postbudet havde været forbi - mærkeligt, for jeg var hjemme på tidspunktet.På sedlen stod der at jeg kunne hente pakken dagen efter i Kvickly i Roskilde efter kl. 13 - men de har selvfølgelig ikke modtaget pakken.Det er 2 gang - nøjagtige samme forløb.Suk… så nu skal bruge tid på at kontakte dem, igen… på deres totalt umulige hjemmeside, som er sat op på en måde, så man nærmest ikke kan klage.Suk…Et rigtigt selskab, der ikke fik kunstig åndedræt fra staten, ville tilbyde kompensation eller som et minimum, sørge for at pakken blev leveret til døren -Som der er betalt for…. Lad os se om PostNord har bare et gram af anstændighed….",1,negative,negative,0.272,0.009,0.719
UPS,Useless and liars,Useless and liars,1,negative,neutral,0.008,0.983,0.009
UPS,Jeg fik min faktura alt forsent og de…,Jeg fik min faktura alt forsent og de sagde at jeg bare skulle betale den med det samme. Så sender de alligevel en bøde med forsent betaling. Det er for dårligt synes jeg.,1,negative,negative,0.001,0.001,0.998
UPS,"Hurtig levering, super chauffør",Modtog en pakke fra Tyskland på to dage... Chaufføren der skulle forbi med pakken ringede til mig og spurgte hvornår på dagen det passede mig bedst at han kom forbi - super god service!,5,positive,positive,0.99,0.009,0.001
FedEx,Håber det går galt for jer i DK,"Fuldstændig utroligt at så stor en virksomhed  er så mange meter bag DAO, DHL, Postnord og GLS. Hvordan kan i ikke have en pakkeshop løsning kørende?? I beder seriøst jeres kunder om at hente pakker i Kastrup hvor ingen gider bevæge sig hen.Vi aftaler leveringstiden men ingen ringer op eller forsøger at levere. Så er det nemt at være chauffør. Dårlig service, dårlig mod miljøet og forfærdelig placering og håndtering af en fejl. Håber det går galt for jer i DK.",1,negative,negative,0.001,0.0,0.999
UPS,Løgnagtig kurerer/chauffører hos UPS!!! Jeg afventede en pakke i dag (onsdag…,"Jeg afventede en pakke i dag (onsdag den 11. maj 2022), som jeg skulle modtage på min hjemme adresse. Jeg kom hjem fra arbejde kl. 14.30, og afventede kureren derhjemme. Jeg kontaktede UPS vedr. leveringstiden hvilket senest ville ske kl. 19.00. Da klokken blev 18.00 og kureren endnu ikke var kommet, kontrollerede jeg herefter status på pakken via UPS appen. Det fremgik i appen, at kureren havde forsøgt at levere min pakke kl. 16.03, men han traf ingen derhjemme. Dette er fuldstændigt løgn og uacceptabelt!! Jeg har været hjemme hele aften og jeg hverken hørt nogen banke på hoveddøren eller benyttet ringeklokken (jeg bor i lejlighed)... Dette er godt nok dårlig og elendig en service at få, når man endda har betalt for hjemmelevering, og derefter selv skal ned til en pakkeshop for at afhente den der. Jeg kan på det kraftigste ikke anbefale det her skod firma!!!",1,negative,negative,0.001,0.003,0.995
UPS,UPS har forsøgt at levere en pakke til mig?,"Fik en SMS (mens jeg var hjemme tæt på hoveddøren hele morgen, ingen larm, radio eller musik) om at de forsøgt at levere min pakke 1Z6491R96897954484, men træf mig ikke… De var IKKE forbi!",1,negative,negative,0.364,0.038,0.598
PostNord i Danmark,God levering,"God levering, var ikke hjemme fik et opkald! Aftalte bare ligge pakken.👌",5,positive,positive,0.998,0.001,0.001
PostNord i Danmark,Super,Ting til tiden,5,positive,neutral,0.001,0.998,0.001
PostNord i Danmark,Varen ankom og blev udleveret prof,Varen ankom og blev udleveret prof. I Føtex,5,positive,neutral,0.002,0.997,0.001
PostNord i Danmark,Ja jeg fik en Mail hvor der stod pakken…,Ja jeg fik en Mail hvor der stod pakken var afleveret men det var den ikke .Kom først senere .,1,negative,neutral,0.001,0.996,0.003
PostNord i Danmark,Post til tiden,Post til tiden,5,positive,neutral,0.001,0.998,0.001
PostNord i Danmark,Hurtig levering,Hurtig levering,5,positive,positive,0.953,0.045,0.002
FedEx,Virkelig så uduelige som anmeldelserne antyder...,"Virkelig nogle r-huller.Leverer ikke til tiden, ikke engang den dag hvor man får besked om at de gør.Ærligt brug et andet firma hvis muligt, det her er en lost cause.F*** jer, FedEx.",1,negative,negative,0.024,0.001,0.975
PostNord i Danmark,I var bare hurtig,I var bare hurtig,5,positive,positive,0.959,0.039,0.001
PostNord i Danmark,Pakken blev leveret hurtigt,Pakken blev leveret hurtigt,5,positive,neutral,0.07,0.929,0.001
PostNord i Danmark,Helt perfekt,"Helt perfekt, levering dagen efter bestilling",5,positive,positive,0.998,0.002,0.001
PostNord i Danmark,Pakken var til afhentning uden for…,Pakken var til afhentning uden for meget ventetid. Så det var bare perfekt,5,positive,positive,0.999,0.001,0.001
UPS,Langsom håndtering - Været på adressen uden at levere pakken - Skal hente på pakke på udleveringssted.,20. marts sendes vare fra butik i UK. 22. marts modtages mail fra UPS med forventet levering dagen efter. Samme dag betales importafgifter.28. marts beder jeg om status.29. marts modtager jeg mail om forventet levering d. 30. På denne dag ses INGEN UPS-bud på adressen. Herefter my mail om levering d. 31. marts. UPS-bud ses på adressen med tager pakken med igen (der givet fuldmagt til at sætte pakken). 31. marts pakken kan hentes efter weekenden på UPS-access point.,1,negative,neutral,0.001,0.998,0.001
PostNord i Danmark,Alt var med et smil,Alt var med et smil,5,positive,positive,0.998,0.001,0.001
PostNord i Danmark,Hvad mere kan man forlange?,"Leveret på det rette sted, og til rette tid.",4,positive,positive,0.903,0.093,0.005
PostNord i Danmark,En MARKANT forbedring af standarden her…,En MARKANT forbedring af standarden her i København K. Håber det varer ved.,5,positive,positive,0.997,0.0,0.002
UPS,"Kommer aldrig hjem til dig - de smider den bare i en ""pakkeshop""","vedr: 1Z7324296868100682Det passer simpelt hen ikke at i ikke har kunnet træffe mig hjemme i dag klokken 1530.Jeg betaler for at få pakken bragt ud - ikke for at skulle transportere mig 5 km for at afhente den  i en ""pakkeshop""Det er simpelt hen urimeligt.",1,negative,negative,0.001,0.001,0.998
FedEx,Elendigt løgnagtige firma med masser af…,Elendigt løgnagtige firma med masser af dårlige undskyldninger. Kan ikke overholde deres egne aftaler og kan ikke levere pakker til tiden.,1,negative,negative,0.001,0.0,0.999
FedEx,"Ikke målrettet privatkunder, men god udbringning ellers","Pakken nåede frem, havde ikke en skramme og indholdet intakt. Jeg var ikke hjemme ved 1. udbringningsforsøg, men fik aftalt genudbringning den efterfølgende tirsdag og kunne her tage imod pakken. Nemt, hurtigt og kompetent.  Det eneste som bør bemærkes er, at FedEx nok ikke er tiltænkt danske privatkunder. Det ville være rigtigt dejligt med udleveringssteder, da mange ikke er hjemme i dagtimerne og flexlevering (som også var en mulighed), ikke er en mulighed i et lejlighedskompleks i Esbjerg centrum.",4,positive,positive,0.992,0.006,0.002
PostNord i Danmark,Intet at ikke være tilfreds med.,Intet at ikke være tilfreds med.,5,positive,positive,0.9,0.009,0.092
UPS,Levering af pakke der var helt smadret!,"Da jeg skulle bytte min strømforsyning til min pc skulle den sendes med UPS. Jeg bruger det normalt ikke, men da det var firmaet der bad mig om det gjorde jeg det.Havde egentlig ingen problemer med at få det sent, da jeg ringede ind for at spørge hvordan jeg skulle gøre det kom jeg igennem til en uinteresseret og nærmest sovende fyr der ikke rigtig gad at hjælpe mig. Han fik mig til at føle mig dum og jeg har ellers sendt mange pakker i mit liv. Nå men så skulle jeg jo modtage pakken. Den var meget lang tid undervejs, virkelig lang ventetid. Og så da den ankom var den bare smadret. Kassen var næsten revet helt af og min strømforsyning var ret skæv. Den virkede så heller ikke, og det skulle være en helt ny en. Så jeg valgte at betale selv og sende den med Post DK og der fik jeg en tilsendt uden skrammer. Så bestil ikke noget sart hvis UPS skal levere det.",1,negative,negative,0.063,0.464,0.473
PostNord i Danmark,Super fint...,Super fint...,5,positive,positive,0.997,0.002,0.001
UPS,"""Super"" udbringning","Gid virksomhederne valgte andre leverandører end UPS... Bruger en hel dag på at sidde derhjemme, og vente på en pakke... Man prøver at holde sig opdateret på nettet... pludselig står der på hjemmesiden at fragtmanden har været forbi ens Adr for 5 min siden... Han/Hun vælger blot at lade vær med at ringe på døren! Tusind tak, kunne have brugt dagen på noget andet...",1,negative,positive,0.997,0.001,0.003
PostNord i Danmark,Hurtig og sikker levering og advisering…,Hurtig og sikker levering og advisering om afhentning.,5,positive,positive,0.876,0.118,0.005
PostNord i Danmark,Endnu en pakke leveret til hurtig 😁,Endnu en pakke leveret til hurtig 😁,5,positive,positive,0.996,0.004,0.001
PostNord i Danmark,En lille hilse,Supergodt jeg fik postpakke Jeg er meget tilfreds TakVhGitte,5,positive,positive,0.999,0.0,0.001
UPS,PERFEKT,"Vi har brugt UPS 5 gange den sidste måned, og alt er gået meget hurtigt og upåklageligt.Meget venlig chauffør og venlig kundebetjening i telefonen.",5,positive,positive,0.99,0.003,0.007
PostNord i Danmark,Nem selvhenter..,"Jeg kan bedst lide, at jeg selv kan bestemme hvornår jeg kan afhente min forsendelse. Det er ligesom den kendte ""Ritter Chokolade"" : (kvadratisk) praktisk og god !Mvh. Michael Schulz",5,positive,positive,0.997,0.002,0.0
PostNord i Danmark,Håber at postnord kan give beskeder videre.,Jeg håber i sender denne besked videre til min postman...Bedre postmand skal vi lede længe efter.... Alt perfekt,5,positive,positive,0.998,0.001,0.001
PostNord i Danmark,Super hurtigt,Super hurtigt - det kan ikke gøres bedre.,5,positive,positive,0.938,0.028,0.034
FedEx,jeg bestilte en pakke,"Jeg bestilte en pakke, som nu en måned efter jeg har bestilt den, stadig ikke er blevet leveret. Jeg har været i kontakt med kundeservice 5 gange nu, som gang på gang har lovet mig guld og grønne skove. Når man ringer skal man angive sit kundernr, men det vil de ikke oplyse til mig! Jeg har endda tilbudt selv at hente den på deres lager i Hvidovre, når nu de ikke selv kan finde ud af det, men det må jeg heller ikke. Er meget træt af Fedex, og håber på, at 5 gang er lykkens gang, nu hvor jeg er kommet i kontakt med det danske kundeservice. Ærgerlig oplevelse...",1,negative,positive,0.726,0.014,0.259
PostNord i Danmark,Jeg er træt af Postnord.,"Jeg er træt af Postnord.Jeg har haft konto hos Skandix i flere år hvor min adresse er registreret, og modtaget flere pakker fra dem.Nu mener Postnord pludselig der er noget galt med min adresse?Kære Postnord, i kan finde ud af at sende både sms og mail om hvornår I vil aflevere pakken, hvorfor helvedet kontakter I mig ikke hvis i mener der er problemer med adressen i stedet for bare at sende pakken retur til afsender.Intet under i har underskud, I ville ikke kunne drive en pølsevogn selv om 20 konsulenter fortalte jer hvordan man bør gøre.PS. Dagen før kom min nabo over med en pakke, også fra Skandix, som I havde afleveret hos ham.",1,negative,negative,0.003,0.048,0.948
UPS,Ups er det væreste leveringsfirma…,Ups er det væreste leveringsfirma nogensinde det så fkn svært at bruge det levere ikke ordenligt ærligt luk jeres firma i er forfærdelige,1,negative,negative,0.001,0.0,0.999
PostNord i Danmark,Utrolig hurtig levering,Utrolig hurtig levering,5,positive,positive,0.996,0.003,0.001
PostNord i Danmark,God og hurtig service,God og hurtig service,5,positive,positive,0.996,0.003,0.001
PostNord i Danmark,Fin og hurtig service,Fin og hurtig service,4,positive,positive,0.996,0.003,0.001
PostNord i Danmark,"Hurtig modpost nord ,flink chauffør","Hurtig pakke fran. Butikken ,endnu hurtigere bud fra post nord ,så tak flink chauffør",4,positive,positive,0.999,0.0,0.001
UPS,Piv ringe service… pakken leveret…,Piv ringe service… pakken leveret forkert adresse også skal man igennem en helvedes formular og da man så ikke høre noget i stykke tid kontakter jeg dem for at sprøge hvad der sket fortæller de mig at jeg skal snakke med afsender. Afsender var så flink at returnere mine penge.,1,negative,negative,0.003,0.004,0.994
UPS,Er der er en Voksen til stede?,"UPS i Danmark er noget af det mest uprofessionelle jeg nogen sinde har prøvet. Havde sendt 17 parcels sammen, men kun fået leveret 15. De sidste 2 bliver ved med at blive redigeret leverings tid. I deres kommunikation står det at JEG har ændret leverings tidspunktet. Det har jeg på ingen måde. Det er deres udleverings hold der ikke kan eller vil følge instruktioner. De bliver ved med at ændre detaljer omkring levering UDEN mit samtykke.  Jeg kan simpelt hen ikke forstå hvordan de kan drive en virksomhed, når de er ligeglade med deres kunders pakker!",1,negative,negative,0.006,0.011,0.983
PostNord i Danmark,Hurtigt og nemt at hente pakken.,Hurtigt og nemt at hente pakken.,5,positive,positive,0.947,0.042,0.011
PostNord i Danmark,Hurtig og sikker levering.,Hurtig og sikker levering.,5,positive,positive,0.978,0.019,0.003
UPS,Undgå UPS hvis du kan,"Min historie: Bestilte en vare fra Tyskland. Dagen før den skal leveres på min adresse, modtager jeg en SMS og siger via den ja tak til at UPS dropper min pakke af i en kiosk i byen hvor jeg bor. På dagen for levering ser jeg til min store overraskelse, at UPS skriver at de vil levere pakken til en kiosk 20km væk. Jeg ringer til dem, får fat i en engelsktalende medarbejder, der lover at omdirigere pakken. Senere samme dag leverer UPS alligevel pakken til kiosken der ligger 20km væk. Jeg henvender mig til deres facebookprofil, og der vil man anmode om at pakken omdirigeres til min adresse. Til min glæde ser jeg kort efter at tracking på hjemmesiden viser at den proces skulle være i gang. To dage senere er intet sket, på tracking står der fortsat at pakken omdirigeres til min hjemadresse, men da jeg igen spørger UPS på deres facebook, er meldingen at anmodningen om at omdirigere min pakke var afvist. Man nægter altså fuldstændig at tage ansvar for de fejl man selv begår, og informerer ikke kunden om hvad der foregår. Jeg blev tilbudt at man på ny ville anmode om at pakken blev omdirigeret, men takkede nej fordi jeg frygtede at de igen ville aflevere pakken et forkert sted. Det virkede mere sikkert selv at arrangere transport og hente pakken 20km væk. Anmeldelserne du kan læse på Trustpilot lyver ikke. Hold dig fra UPS. To stjerner fordi de i det mindste ikke smed min pakke væk. Den indeholdt en yderst sjælden vare, og derfor tæller det nok til at hæve karakteren fra den ene stjerne jeg reelt synes at UPS fortjener.",2,negative,neutral,0.005,0.994,0.001
PostNord i Danmark,Jeg er fuldt ud tilfreds og glad for…,"Jeg er fuldt ud tilfreds og glad for PostNord. Altid super imødekommende postbud samt hurtigt og stabil levering, tak 👍",5,positive,positive,0.999,0.0,0.001
UPS,Jeg skulle i dag have byttet en telefon…,"Jeg skulle i dag have byttet en telefon igennem ups, de skulle have den ødelagte med og levere en ny. Tager fri fra arbejde for at være sikker på at jeg er hjemme. Men fordi at alle navne i husstanden ikke stå på DØRTELEFONEN!!! Ringer chaufføren ikke på og køre igen! Da vi ringer ind får vi besked på at det jo er vores egen fejl fordi vi har skrevet et forkert navn ?! Vi har ikke skrevet er forkert navn, det havde de også opdaget hvis de havde ringet på, både på postkasse og hovededør står alle navne. Alle andre leveringsfirmaer har kunne finde ud af det! Imponerende! Sidste gang ups skal levere eller hente noget her!",1,negative,negative,0.029,0.148,0.822
PostNord i Danmark,har lige modtaget en sms fra postnord,"har lige modtaget en sms fra postnord. de skriver at de lige har været her, men ingen hjemme... støre idioter skal man lede længe efter... er/var hjemme... i guder et møj selskab... forstår godt det går ad h til for dem..... føj for pokker..😖😡😡",1,negative,positive,0.628,0.002,0.369
UPS,UPS.com er da godt så ringe som nogen,"UPS.com er da godt så ringe som nogen. Sendte pakke til Filippinerne, den forsvandt, blev fundet igen, men de svarer ikke på mail, lover at ringe tilbage, hvilket de så Ikke gør ,label var klæbet på sammen med adresse,den var blevet fjernet på Filippinerne efter ankomsten, nu bøvlet vi med at få udleveret, efter mere end 4 måneder. Vil ikke bruge UPS fremover",1,negative,negative,0.003,0.007,0.991
PostNord i Danmark,Kassen var beskadiget,"Kassen var beskadiget, dog var indholdet ok",3,neutral,negative,0.01,0.288,0.702
PostNord i Danmark,Perfekt levering,Fin service og hurtig levering,5,positive,positive,0.997,0.002,0.001
PostNord i Danmark,I leverede kun 1 af mine 2 pakker i…,"leverede kun 1 af mine 2 pakker i samme forsendelse, som jeg skulle bruge til mors dag. Nu når jeg ikke at få pakken i tide.",1,negative,neutral,0.019,0.641,0.34
UPS,Vanvittig dårlig service,"Vanvittig dårlig service. Skulle bruge pakken idag, så er blevet hjemme for at modtage den.Nu kan jeg se på trackingsiden, at ups påstår de har ringet på, men har været hjemme hele dagen og kan bekræfte, at det har de ikke. Pisse ringe forretning",1,negative,negative,0.004,0.001,0.996
PostNord i Danmark,Fuldt tilfreds med levering,Fuldt tilfreds med levering God information med sms og mail,5,positive,positive,0.997,0.002,0.001
PostNord i Danmark,Bestilte varen kl.15 fredag afhentede…,Bestilte varen kl.15 fredag afhentede lørdag kl.9.00 det kalder jeg hurtig ekspedition,5,positive,neutral,0.023,0.976,0.001
PostNord i Danmark,2-3dags levering.,2-3dags levering.. sluder og nøgl. Der gik over 3uger.. før pakken kom.. så jeg fik en hurtigere frem med gls.. altid gls.. frem over.. post nord.. luk det.. og lig det ud til gls.. eller få styr på det i lover.. Mvh den utilfredse forhenværende kunde..,1,negative,negative,0.071,0.302,0.627
